cook,eating_out,employment,ethnic_food,exercise,father_education,fav_food,fruit_day,income,mother_education,on_off_campus,parents_cook,pay_meal_out,sports,veggies_day
2.0,3,3.0,1,1.0,5.0,1.0,5,5.0,1.0,1.0,1,2,1.0,5
3.0,2,2.0,4,1.0,2.0,1.0,4,4.0,4.0,1.0,1,4,1.0,4
1.0,2,3.0,5,2.0,2.0,3.0,5,6.0,2.0,2.0,1,3,2.0,5
2.0,2,3.0,5,3.0,2.0,1.0,4,6.0,4.0,1.0,1,2,2.0,3
1.0,2,2.0,4,1.0,4.0,3.0,4,6.0,5.0,1.0,1,4,1.0,4
3.0,1,3.0,4,2.0,1.0,3.0,2,1.0,1.0,1.0,2,5,2.0,1
2.0,2,3.0,5,1.0,4.0,1.0,4,4.0,4.0,2.0,2,2,1.0,4
3.0,2,2.0,2,2.0,3.0,1.0,5,5.0,2.0,1.0,1,5,2.0,4
3.0,5,2.0,5,1.0,5.0,3.0,4,5.0,5.0,1.0,2,3,2.0,3
3.0,3,3.0,5,1.0,5.0,1.0,5,4.0,5.0,1.0,3,3,1.0,5
1.0,2,1.0,5,1.0,2.0,1.0,5,3.0,4.0,3.0,1,2,1.0,5
3.0,1,2.0,5,1.0,3.0,1.0,5,5.0,4.0,1.0,1,3,1.0,5
5.0,1,3.0,4,3.0,3.0,3.0,4,5.0,4.0,1.0,2,2,1.0,3
2.0,4,2.0,5,2.0,2.0,1.0,5,5.0,4.0,2.0,2,3,1.0,5
3.0,2,3.0,4,2.0,4.0,3.0,5,5.0,4.0,2.0,2,3,1.0,5
4.0,4,3.0,1,1.0,5.0,2.0,3,4.0,4.0,1.0,2,3,1.0,1
3.0,1,2.0,2,2.0,1.0,1.0,5,1.0,2.0,1.0,2,2,2.0,5
3.0,2,3.0,4,1.0,2.0,3.0,3,6.0,2.0,1.0,1,6,1.0,4
3.0,3,2.0,1,3.0,5.0,3.0,5,5.0,3.0,1.0,1,2,2.0,5
4.0,2,3.0,3,2.0,5.0,1.0,2,5.0,4.0,1.0,1,3,1.0,2
5.0,4,2.0,4,1.0,5.0,3.0,2,6.0,4.0,1.0,1,2,1.0,3
3.0,1,2.0,3,1.0,4.0,2.0,3,6.0,2.0,1.0,3,5,1.0,2
5.0,1,2.0,3,1.0,4.0,1.0,4,6.0,4.0,1.0,3,5,1.0,3
4.0,2,2.0,5,3.0,4.0,1.0,3,4.0,2.0,1.0,2,3,1.0,4
1.0,4,3.0,4,1.0,3.0,1.0,4,4.0,2.0,1.0,1,3,2.0,4
